number of photons = 100000000
overflow: 2.89055833004013895988e+07
sum: 7.10947982169463783503e+07
sum: 7.10944166995986104012e+07
avg: 7.10947982169463754687e-01
perc_in: 71.09

number of photons = 100000000
bin size = 0.00833 [cm] 
last row is overflow. Ignore.
r [cm] 	 Fsph [1/cm2] 	 Fcyl [1/cm2] 	 Fpla [1/cm2]
1.42083 	 3.44784956495311710716e-06 	 4.16873650701397521767e-03 	 3.85298438577787302414e-03 
1.42917 	 3.80899947024199165950e-06 	 3.73910877286440755662e-03 	 4.28542177764844323118e-03 
1.43750 	 4.21612117089537109826e-06 	 3.35358369382320227470e-03 	 4.76251644222225670178e-03 
1.44583 	 4.66317919467075629069e-06 	 3.00692076123700155130e-03 	 5.29730775749623176984e-03 
1.45417 	 5.14124273250258319643e-06 	 2.69819067847670585741e-03 	 5.88936376540132901225e-03 
1.46250 	 5.69675348433760495227e-06 	 2.41898148173786504619e-03 	 6.53814645702086461726e-03 
1.47083 	 6.28446434768373439836e-06 	 2.17045897883746041410e-03 	 7.26961802734233959039e-03 
1.47917 	 6.94506809619260438655e-06 	 1.94648501433385546881e-03 	 8.08124085442644621291e-03 
1.48750 	 7.66660787475808006475e-06 	 1.74490686127291134110e-03 	 8.98281463916604516751e-03 
1.49583 	 8.45270596004113869599e-06 	 1.56524341143076837699e-03 	 9.98900761122363534117e-03 
1.50417 	 9.38896816439767047590e-06 	 1.40381487386396185124e-03 	 1.10895816666129361228e-02 
1.51250 	 1.03824427494114384908e-05 	 1.25885233856847813215e-03 	 1.23372825514831748611e-02 
1.52083 	 1.14286328106030514082e-05 	 1.12970367427787888800e-03 	 1.37160393432250223705e-02 
1.52917 	 1.26477119133796092089e-05 	 1.01330293121613826748e-03 	 1.52481454372920544049e-02 
1.53750 	 1.39703024775301599128e-05 	 9.08934487648972331761e-04 	 1.69444913473639213741e-02 
1.54583 	 1.54465638848850515049e-05 	 8.15348531752865400730e-04 	 1.88469474400771198896e-02 
1.55417 	 1.70926218222644100248e-05 	 7.31536995580278561098e-04 	 2.09469853347703238722e-02 
1.56250 	 1.89544136716500235553e-05 	 6.55930633340296429835e-04 	 2.32902974416348551578e-02 
1.57083 	 2.09187932090194213795e-05 	 5.88416009905950651571e-04 	 2.58942560999122980969e-02 
1.57917 	 2.31016864890649325332e-05 	 5.27588331729396398107e-04 	 2.87880185053407712525e-02 
1.58750 	 2.55391202338536220211e-05 	 4.73443297447044358049e-04 	 3.20049474564213232153e-02 
1.59583 	 2.82260868468568006985e-05 	 4.24969943801124794280e-04 	 3.55652255005473316718e-02 
1.60417 	 3.12160923489139847530e-05 	 3.81245049567993155894e-04 	 3.95457219364912931914e-02 
1.61250 	 3.45341031684184680503e-05 	 3.41860530426289950523e-04 	 4.39615757557511172005e-02 
1.62083 	 3.82786595258636047037e-05 	 3.06872363591450213454e-04 	 4.88452758584075261150e-02 
1.62917 	 4.22588932488981010326e-05 	 2.75238604235905799655e-04 	 5.42780840014362372936e-02 
1.63750 	 4.66864942846465582086e-05 	 2.46775358400895138047e-04 	 6.03561506677740763904e-02 
1.64583 	 5.16529954835709211492e-05 	 2.21644360015670711592e-04 	 6.70898810564841130422e-02 
1.65417 	 5.71214860152529155376e-05 	 1.98712912952587041158e-04 	 7.45781650309802063292e-02 
1.66250 	 6.31530246636973098800e-05 	 1.78501633896644909408e-04 	 8.29249881693243234837e-02 
1.67083 	 6.97159525342012063604e-05 	 1.60111209288437626426e-04 	 9.21521156626743803697e-02 
1.67917 	 7.71390123061877879809e-05 	 1.43786047308782835834e-04 	 1.02393897938792222124e-01 
1.68750 	 8.53483468762983250909e-05 	 1.28982232407607162695e-04 	 1.13819412221755025816e-01 
1.69583 	 9.44594797816679788809e-05 	 1.15869591555787615446e-04 	 1.26533024535269184030e-01 
1.70417 	 1.04556594574241220859e-04 	 1.04053609307967309238e-04 	 1.40688460550583899211e-01 
1.71250 	 1.15647795126462582006e-04 	 9.31598031390890951803e-05 	 1.56374663123975993217e-01 
1.72083 	 1.27893736982063121414e-04 	 8.34761236183921459227e-05 	 1.73822126747879945885e-01 
1.72917 	 1.41510300509190142196e-04 	 7.50096072830549516096e-05 	 1.93248468086132885180e-01 
1.73750 	 1.56478631165396628224e-04 	 6.73525432807186181247e-05 	 2.14750813759066266906e-01 
1.74583 	 1.73218351383023610448e-04 	 6.04346471377090183183e-05 	 2.38699218658700251794e-01 
1.75417 	 1.91667733767494539131e-04 	 5.42173703842623765569e-05 	 2.65335938530692705406e-01 
1.76250 	 2.12052996410867886264e-04 	 4.85913127098338670350e-05 	 2.95002067541086210323e-01 
1.77083 	 2.34326633294758464050e-04 	 4.36724141970612229208e-05 	 3.27887497440342678967e-01 
1.77917 	 2.59401002695092879405e-04 	 3.92255445940040459759e-05 	 3.64516828396090342146e-01 
1.78750 	 2.86971341446331509525e-04 	 3.52845336924868810207e-05 	 4.05208321363504153645e-01 
1.79583 	 3.17593010603715137589e-04 	 3.16456835341568195512e-05 	 4.50402503123576714028e-01 
1.80417 	 3.51337734859627536313e-04 	 2.84185663612569495160e-05 	 5.00643033893791944422e-01 
1.81250 	 3.88896711276531012024e-04 	 2.55194017011436154044e-05 	 5.56393136788448372521e-01 
1.82083 	 4.30293508376541054307e-04 	 2.29847473233991737667e-05 	 6.18631399250142322011e-01 
1.82917 	 4.76191493954229673122e-04 	 2.06364451151374096759e-05 	 6.87662316526919781268e-01 
1.83750 	 5.26835261944656198761e-04 	 1.84847673534443103700e-05 	 7.64462710511361387411e-01 
1.84583 	 5.83249880954479272589e-04 	 1.66061490228973037981e-05 	 8.49794526957869167383e-01 
1.85417 	 6.45574891203398726347e-04 	 1.49092821961036335550e-05 	 9.44750758827641257120e-01 
1.86250 	 7.14541611207096614283e-04 	 1.33289720468555780453e-05 	 1.04992709618691737461e+00 
1.87083 	 7.90836890547865108136e-04 	 1.19650737495613452226e-05 	 1.16710705337597620002e+00 
1.87917 	 8.75613631095776461313e-04 	 1.07234799254611482753e-05 	 1.29709112070723686649e+00 
1.88750 	 9.68649339539034070698e-04 	 9.61920722344737294334e-06 	 1.44206555147250492510e+00 
1.89583 	 1.07237237263090338588e-03 	 8.65004000813969484477e-06 	 1.60302129983807173375e+00 
1.90417 	 1.18673214656809383749e-03 	 7.75992321951863369030e-06 	 1.78212863884179051333e+00 
1.91250 	 1.31350761959001752915e-03 	 6.96448912675106043688e-06 	 1.98041473517212063271e+00 
1.92083 	 1.45397852859644296022e-03 	 6.25371775519992865441e-06 	 2.20049640074035490755e+00 
1.92917 	 1.60833131678755165625e-03 	 5.62057193759238453705e-06 	 2.44304461059442079574e+00 
1.93750 	 1.78045362961144976524e-03 	 5.00015701219047263825e-06 	 2.70973927058928509837e+00 
1.94583 	 1.97169717384251038522e-03 	 4.46568906350309109281e-06 	 2.99812318954459255949e+00 
1.95417 	 2.18204419354250641130e-03 	 3.99168627014725646627e-06 	 3.30140361992000297420e+00 
1.96250 	 2.41452970079723654162e-03 	 3.58771130541242860599e-06 	 3.60096403089328642722e+00 
1.97083 	 2.67275399414566719805e-03 	 3.22902636016330438646e-06 	 3.85196051538797901159e+00 
1.97917 	 2.95869382543307484282e-03 	 2.93307511339006434745e-06 	 3.96934972772231153826e+00 
1.98750 	 3.27607966618997199434e-03 	 2.61132887305084390614e-06 	 3.81465483358910351086e+00 
1.99583 	 3.62676354330000293852e-03 	 2.34896452838489891703e-06 	 2.37923274017362418320e+00 
2.00417 	 1.38658220092353867692e+00 	 2.10037567744599504066e-05 	 2.07280484670326714536e+01 
